Format,2.0A,
Memory Length,5000,Memory Length,5000,Memory Length,5000,Memory Length,5000,
Trigger Level,6.80V,Trigger Level,6.80V,Trigger Level,6.80V,Trigger Level,6.80V,
Source,CH1,Source,CH2,Source,CH3,Source,CH4,
Label, ,Label, ,Label, ,Label, ,
Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,
Vertical Units,V,Vertical Units,V,Vertical Units,V,Vertical Units,V,
Vertical Scale,1.000E+02,Vertical Scale,5.000E+01,Vertical Scale,5.000E-01,Vertical Scale,5.000E-01,
Vertical Position,1.960E+02,Vertical Position,2.000E+00,Vertical Position,-3.400E-01,Vertical Position,-1.160E+00,
Horizontal Units,S,Horizontal Units,S,Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,1.000E-05,Horizontal Scale,1.000E-05,Horizontal Scale,1.000E-05,Horizontal Scale,1.000E-05,
Horizontal Position,1.728E-04,Horizontal Position,1.728E-04,Horizontal Position,1.728E-04,Horizontal Position,1.728E-04,
Horizontal Mode,Main,Horizontal Mode,Main,Horizontal Mode,Main,Horizontal Mode,Main,
Sampling Period,2.000E-08,Sampling Period,2.000E-08,Sampling Period,2.000E-08,Sampling Period,2.000E-08,
Firmware,V1.13,Firmware,V1.13,Firmware,V1.13,Firmware,V1.13,
Time,16-Aug-16 12:55:26,Time,16-Aug-16 12:55:26,Time,16-Aug-16 12:55:26,Time,16-Aug-16 12:55:26,
Mode,Detail,Mode,Detail,Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,Waveform Data,,Waveform Data,,
1.239800e-04,-4.000000,1.239800e-04,2.000000,1.239800e-04,0.040000,1.239800e-04,0.020000,
1.240000e-04,-4.000000,1.240000e-04,2.000000,1.240000e-04,0.040000,1.240000e-04,0.020000,
1.240200e-04,-4.000000,1.240200e-04,2.000000,1.240200e-04,0.040000,1.240200e-04,0.020000,
1.240400e-04,-4.000000,1.240400e-04,2.000000,1.240400e-04,0.040000,1.240400e-04,0.020000,
1.240600e-04,-4.000000,1.240600e-04,2.000000,1.240600e-04,0.040000,1.240600e-04,0.020000,
1.240800e-04,-4.000000,1.240800e-04,2.000000,1.240800e-04,0.040000,1.240800e-04,0.000000,
1.241000e-04,-4.000000,1.241000e-04,2.000000,1.241000e-04,0.040000,1.241000e-04,0.000000,
1.241200e-04,0.000000,1.241200e-04,2.000000,1.241200e-04,0.040000,1.241200e-04,0.000000,
1.241400e-04,0.000000,1.241400e-04,2.000000,1.241400e-04,0.040000,1.241400e-04,0.000000,
1.241600e-04,0.000000,1.241600e-04,4.000000,1.241600e-04,0.040000,1.241600e-04,0.020000,
1.241800e-04,-4.000000,1.241800e-04,2.000000,1.241800e-04,0.040000,1.241800e-04,0.020000,
1.242000e-04,-4.000000,1.242000e-04,2.000000,1.242000e-04,0.040000,1.242000e-04,0.000000,
1.242200e-04,-4.000000,1.242200e-04,2.000000,1.242200e-04,0.040000,1.242200e-04,0.020000,
1.242400e-04,-4.000000,1.242400e-04,2.000000,1.242400e-04,0.040000,1.242400e-04,0.020000,
1.242600e-04,-4.000000,1.242600e-04,2.000000,1.242600e-04,0.040000,1.242600e-04,0.000000,
1.242800e-04,-4.000000,1.242800e-04,2.000000,1.242800e-04,0.040000,1.242800e-04,0.020000,
1.243000e-04,0.000000,1.243000e-04,2.000000,1.243000e-04,0.040000,1.243000e-04,0.020000,
1.243200e-04,-4.000000,1.243200e-04,2.000000,1.243200e-04,0.040000,1.243200e-04,0.020000,
1.243400e-04,-4.000000,1.243400e-04,2.000000,1.243400e-04,0.040000,1.243400e-04,0.020000,
1.243600e-04,-4.000000,1.243600e-04,2.000000,1.243600e-04,0.040000,1.243600e-04,0.020000,
1.243800e-04,-4.000000,1.243800e-04,2.000000,1.243800e-04,0.040000,1.243800e-04,0.020000,
1.244000e-04,-4.000000,1.244000e-04,2.000000,1.244000e-04,0.040000,1.244000e-04,0.020000,
1.244200e-04,-4.000000,1.244200e-04,2.000000,1.244200e-04,0.040000,1.244200e-04,0.020000,
1.244400e-04,-4.000000,1.244400e-04,2.000000,1.244400e-04,0.040000,1.244400e-04,0.020000,
1.244600e-04,-4.000000,1.244600e-04,2.000000,1.244600e-04,0.040000,1.244600e-04,0.020000,
1.244800e-04,0.000000,1.244800e-04,2.000000,1.244800e-04,0.040000,1.244800e-04,0.020000,
1.245000e-04,0.000000,1.245000e-04,2.000000,1.245000e-04,0.040000,1.245000e-04,0.020000,
1.245200e-04,-4.000000,1.245200e-04,2.000000,1.245200e-04,0.040000,1.245200e-04,0.020000,
1.245400e-04,-4.000000,1.245400e-04,2.000000,1.245400e-04,0.060000,1.245400e-04,0.000000,
1.245600e-04,-4.000000,1.245600e-04,2.000000,1.245600e-04,0.040000,1.245600e-04,0.000000,
1.245800e-04,-4.000000,1.245800e-04,2.000000,1.245800e-04,0.040000,1.245800e-04,0.020000,
1.246000e-04,-4.000000,1.246000e-04,2.000000,1.246000e-04,0.040000,1.246000e-04,0.020000,
1.246200e-04,-4.000000,1.246200e-04,2.000000,1.246200e-04,0.040000,1.246200e-04,0.020000,
1.246400e-04,-4.000000,1.246400e-04,2.000000,1.246400e-04,0.040000,1.246400e-04,0.020000,
1.246600e-04,-4.000000,1.246600e-04,2.000000,1.246600e-04,0.040000,1.246600e-04,0.000000,
1.246800e-04,-4.000000,1.246800e-04,2.000000,1.246800e-04,0.040000,1.246800e-04,0.020000,
1.247000e-04,-4.000000,1.247000e-04,2.000000,1.247000e-04,0.060000,1.247000e-04,0.020000,
1.247200e-04,-4.000000,1.247200e-04,2.000000,1.247200e-04,0.040000,1.247200e-04,0.020000,
1.247400e-04,-4.000000,1.247400e-04,2.000000,1.247400e-04,0.040000,1.247400e-04,0.020000,
1.247600e-04,-4.000000,1.247600e-04,2.000000,1.247600e-04,0.040000,1.247600e-04,0.020000,
1.247800e-04,-4.000000,1.247800e-04,2.000000,1.247800e-04,0.040000,1.247800e-04,0.020000,
1.248000e-04,0.000000,1.248000e-04,2.000000,1.248000e-04,0.040000,1.248000e-04,0.020000,
1.248200e-04,-4.000000,1.248200e-04,2.000000,1.248200e-04,0.040000,1.248200e-04,0.020000,
1.248400e-04,-4.000000,1.248400e-04,2.000000,1.248400e-04,0.040000,1.248400e-04,0.020000,
1.248600e-04,-4.000000,1.248600e-04,2.000000,1.248600e-04,0.040000,1.248600e-04,0.020000,
1.248800e-04,0.000000,1.248800e-04,2.000000,1.248800e-04,0.040000,1.248800e-04,0.020000,
1.249000e-04,0.000000,1.249000e-04,2.000000,1.249000e-04,0.040000,1.249000e-04,0.020000,
1.249200e-04,-4.000000,1.249200e-04,2.000000,1.249200e-04,0.040000,1.249200e-04,0.000000,
1.249400e-04,-4.000000,1.249400e-04,2.000000,1.249400e-04,0.040000,1.249400e-04,0.000000,
1.249600e-04,0.000000,1.249600e-04,2.000000,1.249600e-04,0.040000,1.249600e-04,0.020000,
1.249800e-04,-4.000000,1.249800e-04,2.000000,1.249800e-04,0.040000,1.249800e-04,0.020000,
1.250000e-04,-4.000000,1.250000e-04,2.000000,1.250000e-04,0.020000,1.250000e-04,0.000000,
1.250200e-04,0.000000,1.250200e-04,2.000000,1.250200e-04,0.040000,1.250200e-04,0.020000,
1.250400e-04,-4.000000,1.250400e-04,2.000000,1.250400e-04,0.040000,1.250400e-04,0.020000,
1.250600e-04,-4.000000,1.250600e-04,2.000000,1.250600e-04,0.040000,1.250600e-04,0.020000,
1.250800e-04,-4.000000,1.250800e-04,2.000000,1.250800e-04,0.040000,1.250800e-04,0.000000,
1.251000e-04,0.000000,1.251000e-04,2.000000,1.251000e-04,0.040000,1.251000e-04,0.020000,
1.251200e-04,0.000000,1.251200e-04,2.000000,1.251200e-04,0.040000,1.251200e-04,0.020000,
1.251400e-04,-4.000000,1.251400e-04,2.000000,1.251400e-04,0.040000,1.251400e-04,0.020000,
1.251600e-04,-4.000000,1.251600e-04,2.000000,1.251600e-04,0.040000,1.251600e-04,0.020000,
1.251800e-04,0.000000,1.251800e-04,2.000000,1.251800e-04,0.040000,1.251800e-04,0.000000,
1.252000e-04,0.000000,1.252000e-04,2.000000,1.252000e-04,0.040000,1.252000e-04,0.020000,
1.252200e-04,-4.000000,1.252200e-04,2.000000,1.252200e-04,0.040000,1.252200e-04,0.020000,
1.252400e-04,-4.000000,1.252400e-04,2.000000,1.252400e-04,0.040000,1.252400e-04,0.020000,
1.252600e-04,0.000000,1.252600e-04,2.000000,1.252600e-04,0.040000,1.252600e-04,0.020000,
1.252800e-04,-4.000000,1.252800e-04,2.000000,1.252800e-04,0.040000,1.252800e-04,0.020000,
1.253000e-04,-4.000000,1.253000e-04,2.000000,1.253000e-04,0.060000,1.253000e-04,0.020000,
1.253200e-04,-4.000000,1.253200e-04,2.000000,1.253200e-04,0.040000,1.253200e-04,0.020000,
1.253400e-04,0.000000,1.253400e-04,2.000000,1.253400e-04,0.040000,1.253400e-04,0.020000,
1.253600e-04,-4.000000,1.253600e-04,2.000000,1.253600e-04,0.040000,1.253600e-04,0.020000,
1.253800e-04,-4.000000,1.253800e-04,2.000000,1.253800e-04,0.040000,1.253800e-04,0.020000,
1.254000e-04,-4.000000,1.254000e-04,2.000000,1.254000e-04,0.040000,1.254000e-04,0.020000,
1.254200e-04,-4.000000,1.254200e-04,2.000000,1.254200e-04,0.040000,1.254200e-04,0.020000,
1.254400e-04,-4.000000,1.254400e-04,2.000000,1.254400e-04,0.040000,1.254400e-04,0.020000,
1.254600e-04,-4.000000,1.254600e-04,2.000000,1.254600e-04,0.040000,1.254600e-04,0.020000,
1.254800e-04,-4.000000,1.254800e-04,2.000000,1.254800e-04,0.040000,1.254800e-04,0.020000,
1.255000e-04,0.000000,1.255000e-04,2.000000,1.255000e-04,0.040000,1.255000e-04,0.020000,
