Format,2.0A,
Memory Length,5000,Memory Length,5000,Memory Length,5000,Memory Length,5000,
Trigger Level,6.80V,Trigger Level,6.80V,Trigger Level,6.80V,Trigger Level,6.80V,
Source,CH1,Source,CH2,Source,CH3,Source,CH4,
Label, ,Label, ,Label, ,Label, ,
Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,
Vertical Units,V,Vertical Units,V,Vertical Units,V,Vertical Units,V,
Vertical Scale,1.000E+02,Vertical Scale,5.000E+01,Vertical Scale,5.000E-01,Vertical Scale,5.000E-01,
Vertical Position,1.960E+02,Vertical Position,2.000E+00,Vertical Position,-3.400E-01,Vertical Position,-1.160E+00,
Horizontal Units,S,Horizontal Units,S,Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,1.000E-05,Horizontal Scale,1.000E-05,Horizontal Scale,1.000E-05,Horizontal Scale,1.000E-05,
Horizontal Position,1.728E-04,Horizontal Position,1.728E-04,Horizontal Position,1.728E-04,Horizontal Position,1.728E-04,
Horizontal Mode,Main,Horizontal Mode,Main,Horizontal Mode,Main,Horizontal Mode,Main,
Sampling Period,2.000E-08,Sampling Period,2.000E-08,Sampling Period,2.000E-08,Sampling Period,2.000E-08,
Firmware,V1.13,Firmware,V1.13,Firmware,V1.13,Firmware,V1.13,
Time,16-Aug-16 12:55:26,Time,16-Aug-16 12:55:26,Time,16-Aug-16 12:55:26,Time,16-Aug-16 12:55:26,
Mode,Detail,Mode,Detail,Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,Waveform Data,,Waveform Data,,
1.637600e-04,-4.000000,1.637600e-04,-2.000000,1.637600e-04,0.000000,1.637600e-04,0.000000,
1.637800e-04,-4.000000,1.637800e-04,-2.000000,1.637800e-04,0.020000,1.637800e-04,-0.020000,
1.638000e-04,-4.000000,1.638000e-04,0.000000,1.638000e-04,0.020000,1.638000e-04,-0.020000,
1.638200e-04,-4.000000,1.638200e-04,0.000000,1.638200e-04,0.040000,1.638200e-04,0.000000,
1.638400e-04,-4.000000,1.638400e-04,-2.000000,1.638400e-04,0.020000,1.638400e-04,-0.020000,
1.638600e-04,-4.000000,1.638600e-04,-2.000000,1.638600e-04,0.020000,1.638600e-04,0.000000,
1.638800e-04,-4.000000,1.638800e-04,0.000000,1.638800e-04,0.020000,1.638800e-04,-0.020000,
1.639000e-04,-4.000000,1.639000e-04,-2.000000,1.639000e-04,0.020000,1.639000e-04,-0.020000,
1.639200e-04,-4.000000,1.639200e-04,-2.000000,1.639200e-04,0.020000,1.639200e-04,0.000000,
1.639400e-04,-4.000000,1.639400e-04,-2.000000,1.639400e-04,0.020000,1.639400e-04,0.000000,
1.639600e-04,-4.000000,1.639600e-04,-2.000000,1.639600e-04,0.000000,1.639600e-04,-0.020000,
1.639800e-04,-4.000000,1.639800e-04,-2.000000,1.639800e-04,0.020000,1.639800e-04,-0.020000,
1.640000e-04,-4.000000,1.640000e-04,-2.000000,1.640000e-04,0.020000,1.640000e-04,0.000000,
1.640200e-04,-4.000000,1.640200e-04,-2.000000,1.640200e-04,0.020000,1.640200e-04,-0.020000,
1.640400e-04,-4.000000,1.640400e-04,-2.000000,1.640400e-04,0.020000,1.640400e-04,-0.020000,
1.640600e-04,-4.000000,1.640600e-04,-2.000000,1.640600e-04,0.020000,1.640600e-04,0.000000,
1.640800e-04,-4.000000,1.640800e-04,-2.000000,1.640800e-04,0.020000,1.640800e-04,-0.020000,
1.641000e-04,-4.000000,1.641000e-04,-2.000000,1.641000e-04,0.020000,1.641000e-04,0.000000,
1.641200e-04,-4.000000,1.641200e-04,-2.000000,1.641200e-04,0.020000,1.641200e-04,-0.020000,
1.641400e-04,-4.000000,1.641400e-04,0.000000,1.641400e-04,0.020000,1.641400e-04,-0.020000,
1.641600e-04,-4.000000,1.641600e-04,0.000000,1.641600e-04,0.020000,1.641600e-04,-0.020000,
1.641800e-04,-4.000000,1.641800e-04,-2.000000,1.641800e-04,0.020000,1.641800e-04,0.000000,
1.642000e-04,-4.000000,1.642000e-04,-2.000000,1.642000e-04,0.020000,1.642000e-04,-0.020000,
1.642200e-04,-4.000000,1.642200e-04,0.000000,1.642200e-04,0.020000,1.642200e-04,-0.020000,
1.642400e-04,-4.000000,1.642400e-04,-2.000000,1.642400e-04,0.020000,1.642400e-04,0.000000,
1.642600e-04,-4.000000,1.642600e-04,0.000000,1.642600e-04,0.020000,1.642600e-04,-0.020000,
1.642800e-04,-4.000000,1.642800e-04,0.000000,1.642800e-04,0.020000,1.642800e-04,0.000000,
1.643000e-04,-4.000000,1.643000e-04,-2.000000,1.643000e-04,0.020000,1.643000e-04,-0.020000,
1.643200e-04,-4.000000,1.643200e-04,-2.000000,1.643200e-04,0.020000,1.643200e-04,0.000000,
1.643400e-04,-4.000000,1.643400e-04,-2.000000,1.643400e-04,0.020000,1.643400e-04,-0.020000,
1.643600e-04,-4.000000,1.643600e-04,-2.000000,1.643600e-04,0.020000,1.643600e-04,0.000000,
1.643800e-04,-4.000000,1.643800e-04,0.000000,1.643800e-04,0.020000,1.643800e-04,-0.020000,
1.644000e-04,-4.000000,1.644000e-04,-2.000000,1.644000e-04,0.020000,1.644000e-04,0.000000,
1.644200e-04,-4.000000,1.644200e-04,0.000000,1.644200e-04,0.020000,1.644200e-04,-0.020000,
1.644400e-04,-4.000000,1.644400e-04,-2.000000,1.644400e-04,0.020000,1.644400e-04,-0.020000,
1.644600e-04,-4.000000,1.644600e-04,-2.000000,1.644600e-04,0.020000,1.644600e-04,-0.020000,
1.644800e-04,-4.000000,1.644800e-04,0.000000,1.644800e-04,0.020000,1.644800e-04,-0.020000,
1.645000e-04,-4.000000,1.645000e-04,-2.000000,1.645000e-04,0.020000,1.645000e-04,0.000000,
1.645200e-04,-4.000000,1.645200e-04,-2.000000,1.645200e-04,0.020000,1.645200e-04,0.000000,
1.645400e-04,-4.000000,1.645400e-04,0.000000,1.645400e-04,0.020000,1.645400e-04,0.000000,
1.645600e-04,-4.000000,1.645600e-04,-2.000000,1.645600e-04,0.020000,1.645600e-04,-0.020000,
1.645800e-04,-4.000000,1.645800e-04,0.000000,1.645800e-04,0.020000,1.645800e-04,0.000000,
1.646000e-04,-4.000000,1.646000e-04,-2.000000,1.646000e-04,0.020000,1.646000e-04,-0.020000,
1.646200e-04,-4.000000,1.646200e-04,-2.000000,1.646200e-04,0.020000,1.646200e-04,0.000000,
1.646400e-04,-4.000000,1.646400e-04,-2.000000,1.646400e-04,0.020000,1.646400e-04,0.000000,
1.646600e-04,-4.000000,1.646600e-04,0.000000,1.646600e-04,0.020000,1.646600e-04,0.000000,
1.646800e-04,-4.000000,1.646800e-04,-2.000000,1.646800e-04,0.020000,1.646800e-04,0.000000,
1.647000e-04,-4.000000,1.647000e-04,-2.000000,1.647000e-04,0.020000,1.647000e-04,-0.020000,
1.647200e-04,-4.000000,1.647200e-04,0.000000,1.647200e-04,0.020000,1.647200e-04,-0.020000,
1.647400e-04,-4.000000,1.647400e-04,0.000000,1.647400e-04,0.020000,1.647400e-04,-0.020000,
1.647600e-04,-4.000000,1.647600e-04,-2.000000,1.647600e-04,0.020000,1.647600e-04,0.000000,
1.647800e-04,-4.000000,1.647800e-04,0.000000,1.647800e-04,0.020000,1.647800e-04,0.000000,
1.648000e-04,-4.000000,1.648000e-04,-2.000000,1.648000e-04,0.020000,1.648000e-04,0.000000,
1.648200e-04,-4.000000,1.648200e-04,0.000000,1.648200e-04,0.020000,1.648200e-04,-0.020000,
1.648400e-04,-4.000000,1.648400e-04,0.000000,1.648400e-04,0.020000,1.648400e-04,-0.020000,
1.648600e-04,-4.000000,1.648600e-04,-2.000000,1.648600e-04,0.020000,1.648600e-04,-0.020000,
1.648800e-04,-4.000000,1.648800e-04,0.000000,1.648800e-04,0.020000,1.648800e-04,0.000000,
1.649000e-04,-4.000000,1.649000e-04,0.000000,1.649000e-04,0.020000,1.649000e-04,0.000000,
1.649200e-04,-8.000000,1.649200e-04,-2.000000,1.649200e-04,0.020000,1.649200e-04,0.000000,
1.649400e-04,-4.000000,1.649400e-04,-2.000000,1.649400e-04,0.020000,1.649400e-04,0.000000,
1.649600e-04,-4.000000,1.649600e-04,0.000000,1.649600e-04,0.020000,1.649600e-04,-0.020000,
1.649800e-04,-4.000000,1.649800e-04,0.000000,1.649800e-04,0.020000,1.649800e-04,0.000000,
1.650000e-04,-4.000000,1.650000e-04,0.000000,1.650000e-04,0.020000,1.650000e-04,-0.020000,
1.650200e-04,-4.000000,1.650200e-04,0.000000,1.650200e-04,0.020000,1.650200e-04,-0.020000,
1.650400e-04,-4.000000,1.650400e-04,0.000000,1.650400e-04,0.020000,1.650400e-04,0.000000,
1.650600e-04,-4.000000,1.650600e-04,0.000000,1.650600e-04,0.020000,1.650600e-04,-0.020000,
1.650800e-04,-4.000000,1.650800e-04,-2.000000,1.650800e-04,0.020000,1.650800e-04,-0.020000,
1.651000e-04,-4.000000,1.651000e-04,-2.000000,1.651000e-04,0.020000,1.651000e-04,-0.020000,
1.651200e-04,-4.000000,1.651200e-04,0.000000,1.651200e-04,0.020000,1.651200e-04,-0.020000,
1.651400e-04,-4.000000,1.651400e-04,0.000000,1.651400e-04,0.020000,1.651400e-04,-0.020000,
1.651600e-04,-4.000000,1.651600e-04,0.000000,1.651600e-04,0.020000,1.651600e-04,-0.020000,
1.651800e-04,-4.000000,1.651800e-04,0.000000,1.651800e-04,0.020000,1.651800e-04,0.000000,
1.652000e-04,-4.000000,1.652000e-04,0.000000,1.652000e-04,0.020000,1.652000e-04,0.000000,
1.652200e-04,-4.000000,1.652200e-04,-2.000000,1.652200e-04,0.020000,1.652200e-04,-0.020000,
1.652400e-04,-4.000000,1.652400e-04,0.000000,1.652400e-04,0.020000,1.652400e-04,-0.020000,
1.652600e-04,-4.000000,1.652600e-04,0.000000,1.652600e-04,0.020000,1.652600e-04,-0.020000,
1.652800e-04,-4.000000,1.652800e-04,0.000000,1.652800e-04,0.020000,1.652800e-04,0.000000,
1.653000e-04,-4.000000,1.653000e-04,0.000000,1.653000e-04,0.020000,1.653000e-04,0.000000,
1.653200e-04,-4.000000,1.653200e-04,0.000000,1.653200e-04,0.020000,1.653200e-04,0.000000,
1.653400e-04,-4.000000,1.653400e-04,0.000000,1.653400e-04,0.020000,1.653400e-04,0.000000,
1.653600e-04,-4.000000,1.653600e-04,0.000000,1.653600e-04,0.020000,1.653600e-04,0.000000,
1.653800e-04,-4.000000,1.653800e-04,0.000000,1.653800e-04,0.020000,1.653800e-04,0.000000,
1.654000e-04,-8.000000,1.654000e-04,-2.000000,1.654000e-04,0.020000,1.654000e-04,-0.020000,
1.654200e-04,-4.000000,1.654200e-04,-2.000000,1.654200e-04,0.020000,1.654200e-04,-0.020000,
1.654400e-04,-4.000000,1.654400e-04,0.000000,1.654400e-04,0.020000,1.654400e-04,-0.020000,
1.654600e-04,-4.000000,1.654600e-04,0.000000,1.654600e-04,0.020000,1.654600e-04,-0.020000,
1.654800e-04,-4.000000,1.654800e-04,0.000000,1.654800e-04,0.020000,1.654800e-04,0.000000,
1.655000e-04,-4.000000,1.655000e-04,0.000000,1.655000e-04,0.020000,1.655000e-04,-0.020000,
1.655200e-04,-4.000000,1.655200e-04,-2.000000,1.655200e-04,0.020000,1.655200e-04,0.000000,
1.655400e-04,-4.000000,1.655400e-04,-2.000000,1.655400e-04,0.020000,1.655400e-04,0.000000,
1.655600e-04,-4.000000,1.655600e-04,0.000000,1.655600e-04,0.020000,1.655600e-04,0.000000,
1.655800e-04,-4.000000,1.655800e-04,0.000000,1.655800e-04,0.020000,1.655800e-04,0.000000,
1.656000e-04,-4.000000,1.656000e-04,0.000000,1.656000e-04,0.020000,1.656000e-04,0.000000,
1.656200e-04,-4.000000,1.656200e-04,0.000000,1.656200e-04,0.020000,1.656200e-04,0.000000,
1.656400e-04,-4.000000,1.656400e-04,0.000000,1.656400e-04,0.020000,1.656400e-04,-0.020000,
1.656600e-04,-4.000000,1.656600e-04,0.000000,1.656600e-04,0.020000,1.656600e-04,0.000000,
1.656800e-04,-4.000000,1.656800e-04,0.000000,1.656800e-04,0.020000,1.656800e-04,0.000000,
1.657000e-04,-4.000000,1.657000e-04,0.000000,1.657000e-04,0.020000,1.657000e-04,-0.020000,
1.657200e-04,-4.000000,1.657200e-04,0.000000,1.657200e-04,0.020000,1.657200e-04,-0.020000,
1.657400e-04,-4.000000,1.657400e-04,0.000000,1.657400e-04,0.020000,1.657400e-04,0.000000,
1.657600e-04,-4.000000,1.657600e-04,0.000000,1.657600e-04,0.020000,1.657600e-04,0.000000,
1.657800e-04,-4.000000,1.657800e-04,0.000000,1.657800e-04,0.020000,1.657800e-04,0.000000,
1.658000e-04,-4.000000,1.658000e-04,0.000000,1.658000e-04,0.020000,1.658000e-04,0.000000,
1.658200e-04,-4.000000,1.658200e-04,0.000000,1.658200e-04,0.020000,1.658200e-04,0.000000,
1.658400e-04,-4.000000,1.658400e-04,0.000000,1.658400e-04,0.020000,1.658400e-04,-0.020000,
1.658600e-04,-4.000000,1.658600e-04,0.000000,1.658600e-04,0.020000,1.658600e-04,0.000000,
1.658800e-04,-4.000000,1.658800e-04,0.000000,1.658800e-04,0.020000,1.658800e-04,0.000000,
1.659000e-04,-4.000000,1.659000e-04,0.000000,1.659000e-04,0.020000,1.659000e-04,0.000000,
1.659200e-04,-4.000000,1.659200e-04,0.000000,1.659200e-04,0.020000,1.659200e-04,-0.020000,
1.659400e-04,-4.000000,1.659400e-04,0.000000,1.659400e-04,0.020000,1.659400e-04,0.000000,
1.659600e-04,-4.000000,1.659600e-04,0.000000,1.659600e-04,0.020000,1.659600e-04,0.000000,
1.659800e-04,-4.000000,1.659800e-04,0.000000,1.659800e-04,0.020000,1.659800e-04,0.000000,
1.660000e-04,-4.000000,1.660000e-04,0.000000,1.660000e-04,0.020000,1.660000e-04,0.000000,
1.660200e-04,-4.000000,1.660200e-04,0.000000,1.660200e-04,0.020000,1.660200e-04,-0.020000,
1.660400e-04,-4.000000,1.660400e-04,0.000000,1.660400e-04,0.020000,1.660400e-04,0.000000,
1.660600e-04,-4.000000,1.660600e-04,0.000000,1.660600e-04,0.020000,1.660600e-04,0.000000,
1.660800e-04,-4.000000,1.660800e-04,0.000000,1.660800e-04,0.020000,1.660800e-04,0.000000,
1.661000e-04,-8.000000,1.661000e-04,0.000000,1.661000e-04,0.020000,1.661000e-04,-0.020000,
1.661200e-04,-4.000000,1.661200e-04,0.000000,1.661200e-04,0.020000,1.661200e-04,-0.020000,
1.661400e-04,-4.000000,1.661400e-04,0.000000,1.661400e-04,0.020000,1.661400e-04,0.000000,
1.661600e-04,-4.000000,1.661600e-04,0.000000,1.661600e-04,0.020000,1.661600e-04,0.000000,
1.661800e-04,-4.000000,1.661800e-04,0.000000,1.661800e-04,0.020000,1.661800e-04,0.000000,
1.662000e-04,-4.000000,1.662000e-04,0.000000,1.662000e-04,0.020000,1.662000e-04,0.000000,
1.662200e-04,-4.000000,1.662200e-04,0.000000,1.662200e-04,0.020000,1.662200e-04,0.000000,
1.662400e-04,-4.000000,1.662400e-04,0.000000,1.662400e-04,0.020000,1.662400e-04,0.000000,
1.662600e-04,-4.000000,1.662600e-04,0.000000,1.662600e-04,0.020000,1.662600e-04,0.000000,
1.662800e-04,-4.000000,1.662800e-04,0.000000,1.662800e-04,0.020000,1.662800e-04,-0.020000,
1.663000e-04,-4.000000,1.663000e-04,0.000000,1.663000e-04,0.020000,1.663000e-04,0.000000,
1.663200e-04,-4.000000,1.663200e-04,0.000000,1.663200e-04,0.020000,1.663200e-04,0.000000,
1.663400e-04,-4.000000,1.663400e-04,0.000000,1.663400e-04,0.020000,1.663400e-04,-0.020000,
1.663600e-04,-4.000000,1.663600e-04,0.000000,1.663600e-04,0.020000,1.663600e-04,0.000000,
1.663800e-04,-4.000000,1.663800e-04,0.000000,1.663800e-04,0.020000,1.663800e-04,0.000000,
1.664000e-04,-4.000000,1.664000e-04,0.000000,1.664000e-04,0.020000,1.664000e-04,0.000000,
1.664200e-04,-4.000000,1.664200e-04,-2.000000,1.664200e-04,0.020000,1.664200e-04,0.000000,
1.664400e-04,-4.000000,1.664400e-04,0.000000,1.664400e-04,0.020000,1.664400e-04,0.000000,
1.664600e-04,-4.000000,1.664600e-04,0.000000,1.664600e-04,0.020000,1.664600e-04,0.000000,
1.664800e-04,-4.000000,1.664800e-04,0.000000,1.664800e-04,0.020000,1.664800e-04,0.000000,
1.665000e-04,-4.000000,1.665000e-04,0.000000,1.665000e-04,0.020000,1.665000e-04,-0.020000,
1.665200e-04,-4.000000,1.665200e-04,0.000000,1.665200e-04,0.020000,1.665200e-04,-0.020000,
1.665400e-04,-4.000000,1.665400e-04,0.000000,1.665400e-04,0.020000,1.665400e-04,0.000000,
1.665600e-04,-4.000000,1.665600e-04,0.000000,1.665600e-04,0.020000,1.665600e-04,0.000000,
1.665800e-04,-4.000000,1.665800e-04,0.000000,1.665800e-04,0.020000,1.665800e-04,0.000000,
1.666000e-04,-4.000000,1.666000e-04,0.000000,1.666000e-04,0.020000,1.666000e-04,0.000000,
1.666200e-04,-4.000000,1.666200e-04,0.000000,1.666200e-04,0.020000,1.666200e-04,0.000000,
1.666400e-04,-4.000000,1.666400e-04,0.000000,1.666400e-04,0.020000,1.666400e-04,-0.020000,
1.666600e-04,-4.000000,1.666600e-04,0.000000,1.666600e-04,0.020000,1.666600e-04,0.000000,
1.666800e-04,-4.000000,1.666800e-04,0.000000,1.666800e-04,0.020000,1.666800e-04,-0.020000,
1.667000e-04,-4.000000,1.667000e-04,0.000000,1.667000e-04,0.040000,1.667000e-04,-0.020000,
1.667200e-04,-4.000000,1.667200e-04,0.000000,1.667200e-04,0.020000,1.667200e-04,0.000000,
1.667400e-04,-4.000000,1.667400e-04,0.000000,1.667400e-04,0.020000,1.667400e-04,0.000000,
1.667600e-04,-4.000000,1.667600e-04,0.000000,1.667600e-04,0.020000,1.667600e-04,0.000000,
1.667800e-04,-4.000000,1.667800e-04,0.000000,1.667800e-04,0.020000,1.667800e-04,0.000000,
1.668000e-04,-4.000000,1.668000e-04,0.000000,1.668000e-04,0.020000,1.668000e-04,0.000000,
1.668200e-04,-4.000000,1.668200e-04,0.000000,1.668200e-04,0.020000,1.668200e-04,0.000000,
1.668400e-04,-4.000000,1.668400e-04,0.000000,1.668400e-04,0.020000,1.668400e-04,0.000000,
1.668600e-04,-4.000000,1.668600e-04,0.000000,1.668600e-04,0.020000,1.668600e-04,-0.020000,
1.668800e-04,-4.000000,1.668800e-04,0.000000,1.668800e-04,0.020000,1.668800e-04,0.000000,
1.669000e-04,-4.000000,1.669000e-04,0.000000,1.669000e-04,0.020000,1.669000e-04,0.000000,
1.669200e-04,-4.000000,1.669200e-04,0.000000,1.669200e-04,0.040000,1.669200e-04,-0.020000,
1.669400e-04,-4.000000,1.669400e-04,0.000000,1.669400e-04,0.020000,1.669400e-04,0.000000,
1.669600e-04,-4.000000,1.669600e-04,0.000000,1.669600e-04,0.020000,1.669600e-04,0.000000,
1.669800e-04,-4.000000,1.669800e-04,0.000000,1.669800e-04,0.020000,1.669800e-04,0.000000,
1.670000e-04,-4.000000,1.670000e-04,0.000000,1.670000e-04,0.020000,1.670000e-04,0.000000,
1.670200e-04,-4.000000,1.670200e-04,0.000000,1.670200e-04,0.020000,1.670200e-04,0.000000,
1.670400e-04,-4.000000,1.670400e-04,0.000000,1.670400e-04,0.020000,1.670400e-04,0.000000,
1.670600e-04,-4.000000,1.670600e-04,0.000000,1.670600e-04,0.020000,1.670600e-04,0.000000,
1.670800e-04,-4.000000,1.670800e-04,0.000000,1.670800e-04,0.020000,1.670800e-04,0.000000,
1.671000e-04,-4.000000,1.671000e-04,0.000000,1.671000e-04,0.020000,1.671000e-04,0.000000,
1.671200e-04,-4.000000,1.671200e-04,0.000000,1.671200e-04,0.020000,1.671200e-04,0.000000,
1.671400e-04,-4.000000,1.671400e-04,0.000000,1.671400e-04,0.020000,1.671400e-04,0.000000,
1.671600e-04,-4.000000,1.671600e-04,0.000000,1.671600e-04,0.040000,1.671600e-04,0.000000,
1.671800e-04,-4.000000,1.671800e-04,0.000000,1.671800e-04,0.020000,1.671800e-04,0.000000,
1.672000e-04,-4.000000,1.672000e-04,0.000000,1.672000e-04,0.020000,1.672000e-04,0.000000,
1.672200e-04,-4.000000,1.672200e-04,0.000000,1.672200e-04,0.040000,1.672200e-04,0.000000,
1.672400e-04,-4.000000,1.672400e-04,0.000000,1.672400e-04,0.020000,1.672400e-04,0.000000,
1.672600e-04,-4.000000,1.672600e-04,0.000000,1.672600e-04,0.020000,1.672600e-04,0.000000,
1.672800e-04,-4.000000,1.672800e-04,0.000000,1.672800e-04,0.020000,1.672800e-04,0.000000,
1.673000e-04,-4.000000,1.673000e-04,0.000000,1.673000e-04,0.020000,1.673000e-04,0.000000,
1.673200e-04,-4.000000,1.673200e-04,0.000000,1.673200e-04,0.020000,1.673200e-04,0.000000,
1.673400e-04,-4.000000,1.673400e-04,0.000000,1.673400e-04,0.020000,1.673400e-04,0.000000,
1.673600e-04,-4.000000,1.673600e-04,0.000000,1.673600e-04,0.040000,1.673600e-04,0.000000,
1.673800e-04,-4.000000,1.673800e-04,0.000000,1.673800e-04,0.020000,1.673800e-04,0.000000,
1.674000e-04,-4.000000,1.674000e-04,0.000000,1.674000e-04,0.020000,1.674000e-04,0.000000,
1.674200e-04,-4.000000,1.674200e-04,0.000000,1.674200e-04,0.020000,1.674200e-04,0.000000,
1.674400e-04,-4.000000,1.674400e-04,0.000000,1.674400e-04,0.020000,1.674400e-04,0.000000,
1.674600e-04,-8.000000,1.674600e-04,0.000000,1.674600e-04,0.020000,1.674600e-04,0.000000,
1.674800e-04,-4.000000,1.674800e-04,0.000000,1.674800e-04,0.020000,1.674800e-04,0.000000,
1.675000e-04,-4.000000,1.675000e-04,0.000000,1.675000e-04,0.020000,1.675000e-04,0.000000,
1.675200e-04,-4.000000,1.675200e-04,0.000000,1.675200e-04,0.020000,1.675200e-04,0.000000,
1.675400e-04,-4.000000,1.675400e-04,0.000000,1.675400e-04,0.020000,1.675400e-04,0.000000,
1.675600e-04,-4.000000,1.675600e-04,0.000000,1.675600e-04,0.020000,1.675600e-04,0.000000,
1.675800e-04,-4.000000,1.675800e-04,0.000000,1.675800e-04,0.020000,1.675800e-04,0.000000,
1.676000e-04,-4.000000,1.676000e-04,2.000000,1.676000e-04,0.020000,1.676000e-04,0.000000,
1.676200e-04,-4.000000,1.676200e-04,0.000000,1.676200e-04,0.020000,1.676200e-04,0.000000,
1.676400e-04,-4.000000,1.676400e-04,0.000000,1.676400e-04,0.020000,1.676400e-04,0.000000,
1.676600e-04,-4.000000,1.676600e-04,0.000000,1.676600e-04,0.020000,1.676600e-04,0.000000,
1.676800e-04,-4.000000,1.676800e-04,0.000000,1.676800e-04,0.040000,1.676800e-04,0.000000,
1.677000e-04,-4.000000,1.677000e-04,0.000000,1.677000e-04,0.020000,1.677000e-04,0.000000,
1.677200e-04,-4.000000,1.677200e-04,0.000000,1.677200e-04,0.020000,1.677200e-04,0.000000,
1.677400e-04,-4.000000,1.677400e-04,0.000000,1.677400e-04,0.020000,1.677400e-04,0.000000,
1.677600e-04,-4.000000,1.677600e-04,0.000000,1.677600e-04,0.040000,1.677600e-04,0.000000,
1.677800e-04,-4.000000,1.677800e-04,0.000000,1.677800e-04,0.020000,1.677800e-04,0.000000,
1.678000e-04,-4.000000,1.678000e-04,0.000000,1.678000e-04,0.020000,1.678000e-04,0.000000,
1.678200e-04,-4.000000,1.678200e-04,0.000000,1.678200e-04,0.020000,1.678200e-04,0.000000,
1.678400e-04,-4.000000,1.678400e-04,0.000000,1.678400e-04,0.020000,1.678400e-04,0.000000,
1.678600e-04,-4.000000,1.678600e-04,0.000000,1.678600e-04,0.020000,1.678600e-04,0.000000,
1.678800e-04,-4.000000,1.678800e-04,0.000000,1.678800e-04,0.040000,1.678800e-04,0.000000,
1.679000e-04,-4.000000,1.679000e-04,0.000000,1.679000e-04,0.020000,1.679000e-04,0.000000,
1.679200e-04,-4.000000,1.679200e-04,0.000000,1.679200e-04,0.040000,1.679200e-04,-0.020000,
1.679400e-04,0.000000,1.679400e-04,0.000000,1.679400e-04,0.020000,1.679400e-04,0.000000,
1.679600e-04,-4.000000,1.679600e-04,0.000000,1.679600e-04,0.020000,1.679600e-04,0.000000,
1.679800e-04,-4.000000,1.679800e-04,0.000000,1.679800e-04,0.020000,1.679800e-04,0.000000,
1.680000e-04,-4.000000,1.680000e-04,0.000000,1.680000e-04,0.020000,1.680000e-04,0.000000,
1.680200e-04,-4.000000,1.680200e-04,0.000000,1.680200e-04,0.020000,1.680200e-04,0.000000,
1.680400e-04,-4.000000,1.680400e-04,0.000000,1.680400e-04,0.020000,1.680400e-04,0.000000,
1.680600e-04,-4.000000,1.680600e-04,0.000000,1.680600e-04,0.020000,1.680600e-04,0.000000,
1.680800e-04,-4.000000,1.680800e-04,0.000000,1.680800e-04,0.020000,1.680800e-04,0.000000,
1.681000e-04,-4.000000,1.681000e-04,0.000000,1.681000e-04,0.020000,1.681000e-04,0.000000,
1.681200e-04,-4.000000,1.681200e-04,0.000000,1.681200e-04,0.020000,1.681200e-04,0.000000,
1.681400e-04,-4.000000,1.681400e-04,0.000000,1.681400e-04,0.040000,1.681400e-04,0.000000,
1.681600e-04,-4.000000,1.681600e-04,2.000000,1.681600e-04,0.020000,1.681600e-04,-0.020000,
1.681800e-04,-4.000000,1.681800e-04,0.000000,1.681800e-04,0.020000,1.681800e-04,0.000000,
1.682000e-04,-4.000000,1.682000e-04,0.000000,1.682000e-04,0.020000,1.682000e-04,0.000000,
1.682200e-04,-4.000000,1.682200e-04,0.000000,1.682200e-04,0.040000,1.682200e-04,0.000000,
1.682400e-04,-4.000000,1.682400e-04,0.000000,1.682400e-04,0.020000,1.682400e-04,0.000000,
1.682600e-04,-4.000000,1.682600e-04,0.000000,1.682600e-04,0.020000,1.682600e-04,0.000000,
1.682800e-04,-4.000000,1.682800e-04,0.000000,1.682800e-04,0.020000,1.682800e-04,0.000000,
1.683000e-04,-4.000000,1.683000e-04,0.000000,1.683000e-04,0.040000,1.683000e-04,0.000000,
1.683200e-04,-4.000000,1.683200e-04,0.000000,1.683200e-04,0.020000,1.683200e-04,0.000000,
1.683400e-04,-4.000000,1.683400e-04,0.000000,1.683400e-04,0.020000,1.683400e-04,0.000000,
1.683600e-04,-4.000000,1.683600e-04,0.000000,1.683600e-04,0.020000,1.683600e-04,0.000000,
1.683800e-04,-4.000000,1.683800e-04,0.000000,1.683800e-04,0.020000,1.683800e-04,0.000000,
1.684000e-04,-4.000000,1.684000e-04,0.000000,1.684000e-04,0.020000,1.684000e-04,0.000000,
1.684200e-04,-4.000000,1.684200e-04,0.000000,1.684200e-04,0.020000,1.684200e-04,0.000000,
1.684400e-04,-4.000000,1.684400e-04,0.000000,1.684400e-04,0.020000,1.684400e-04,0.000000,
1.684600e-04,-4.000000,1.684600e-04,0.000000,1.684600e-04,0.020000,1.684600e-04,0.000000,
1.684800e-04,-8.000000,1.684800e-04,0.000000,1.684800e-04,0.020000,1.684800e-04,0.000000,
1.685000e-04,-4.000000,1.685000e-04,0.000000,1.685000e-04,0.020000,1.685000e-04,0.000000,
1.685200e-04,-4.000000,1.685200e-04,0.000000,1.685200e-04,0.020000,1.685200e-04,0.000000,
1.685400e-04,-4.000000,1.685400e-04,0.000000,1.685400e-04,0.020000,1.685400e-04,0.000000,
1.685600e-04,-4.000000,1.685600e-04,0.000000,1.685600e-04,0.020000,1.685600e-04,0.000000,
1.685800e-04,-4.000000,1.685800e-04,0.000000,1.685800e-04,0.020000,1.685800e-04,0.000000,
