time in s,CH2 in V
38.00006E-6,22.57E-6
38.00006E-6,-137.4E-6
38.20006E-6,102.6E-6
38.20006E-6,-57.43E-6
38.40006E-6,-57.43E-6
38.40006E-6,62.57E-6
38.60006E-6,142.6E-6
38.60006E-6,-57.43E-6
38.80006E-6,182.6E-6
38.80006E-6,22.57E-6
39.00006E-6,-17.43E-6
39.00006E-6,182.6E-6
39.20007E-6,-97.43E-6
39.20007E-6,62.57E-6
39.40007E-6,222.6E-6
39.40007E-6,22.57E-6
39.60007E-6,-57.43E-6
39.60007E-6,182.6E-6
39.80007E-6,-177.4E-6
39.80007E-6,-17.43E-6
40.00007E-6,-177.4E-6
40.00007E-6,-57.43E-6
40.20007E-6,62.57E-6
40.20007E-6,-177.4E-6
40.40008E-6,182.6E-6
40.40008E-6,-17.43E-6
40.60008E-6,22.57E-6
40.60008E-6,142.6E-6
40.80008E-6,222.6E-6
40.80008E-6,62.57E-6
41.00008E-6,-97.43E-6
41.00008E-6,222.6E-6
41.20008E-6,-217.4E-6
41.20008E-6,22.57E-6
41.40008E-6,22.57E-6
41.40008E-6,-257.4E-6
41.60008E-6,142.6E-6
41.60008E-6,-57.43E-6
41.80009E-6,222.6E-6
41.80009E-6,62.57E-6
42.00009E-6,22.57E-6
42.00009E-6,222.6E-6
42.20009E-6,-97.43E-6
42.20009E-6,142.6E-6
42.40000E-6,182.6E-6
42.40000E-6,-17.43E-6
42.60000E-6,-177.4E-6
42.60000E-6,102.6E-6
42.80000E-6,-297.4E-6
42.80000E-6,-97.43E-6
43.00001E-6,-17.43E-6
43.00001E-6,-217.4E-6
43.20001E-6,102.6E-6
43.20001E-6,-97.43E-6
43.40001E-6,-137.4E-6
43.40001E-6,62.57E-6
43.60001E-6,-217.4E-6
43.60001E-6,-57.43E-6
43.80001E-6,62.57E-6
43.80001E-6,-177.4E-6
44.00001E-6,102.6E-6
44.00001E-6,-57.43E-6
44.20001E-6,-177.4E-6
44.20001E-6,62.57E-6
44.40002E-6,-257.4E-6
44.40002E-6,-137.4E-6
44.60002E-6,-17.43E-6
44.60002E-6,-257.4E-6
44.80002E-6,22.57E-6
44.80002E-6,-97.43E-6
45.00002E-6,-177.4E-6
45.00002E-6,-57.43E-6
45.20002E-6,-217.4E-6
45.20002E-6,-57.43E-6
45.40002E-6,-137.4E-6
45.40002E-6,-57.43E-6
45.60003E-6,-217.4E-6
45.60003E-6,-17.43E-6
45.80003E-6,-297.4E-6
45.80003E-6,-137.4E-6
46.00003E-6,62.57E-6
46.00003E-6,-297.4E-6
46.20003E-6,102.6E-6
46.20003E-6,-97.43E-6
46.40003E-6,-337.4E-6
46.40003E-6,-97.43E-6
46.60003E-6,22.57E-6
46.60003E-6,-137.4E-6
46.80003E-6,-337.4E-6
46.80003E-6,-97.43E-6
47.00004E-6,-97.43E-6
47.00004E-6,-257.4E-6
47.20004E-6,-337.4E-6
47.20004E-6,-97.43E-6
47.40004E-6,-17.43E-6
47.40004E-6,-177.4E-6
47.60004E-6,-137.4E-6
47.60004E-6,-17.43E-6
47.80004E-6,-137.4E-6
47.80004E-6,-17.43E-6
48.00004E-6,-177.4E-6
48.00004E-6,-17.43E-6
48.20004E-6,-217.4E-6
48.20004E-6,-57.43E-6
48.40005E-6,-17.43E-6
48.40005E-6,-377.4E-6
48.60005E-6,22.57E-6
48.60005E-6,-377.4E-6
48.80005E-6,-17.43E-6
48.80005E-6,-217.4E-6
49.00005E-6,-17.43E-6
49.00005E-6,-137.4E-6
49.20005E-6,142.6E-6
49.20005E-6,-137.4E-6
49.40005E-6,142.6E-6
49.40005E-6,-57.43E-6
49.60006E-6,-257.4E-6
49.60006E-6,-17.43E-6
49.80006E-6,-257.4E-6
49.80006E-6,-97.43E-6
50.00006E-6,-217.4E-6
50.00006E-6,-97.43E-6
50.20006E-6,-257.4E-6
50.20006E-6,-57.43E-6
50.40006E-6,22.57E-6
50.40006E-6,-137.4E-6
50.60006E-6,102.6E-6
50.60006E-6,-97.43E-6
50.80006E-6,222.6E-6
50.80006E-6,62.57E-6
51.00007E-6,-297.4E-6
51.00007E-6,142.6E-6
51.20007E-6,-337.4E-6
51.20007E-6,-137.4E-6
51.40007E-6,22.57E-6
51.40007E-6,-257.4E-6
51.60007E-6,102.6E-6
51.60007E-6,-57.43E-6
51.80007E-6,142.6E-6
51.80007E-6,-17.43E-6
52.00007E-6,-57.43E-6
52.00007E-6,142.6E-6
52.20008E-6,-97.43E-6
52.20008E-6,102.6E-6
52.40008E-6,102.6E-6
52.40008E-6,-137.4E-6
52.60008E-6,-297.4E-6
52.60008E-6,-97.43E-6
52.80008E-6,-57.43E-6
52.80008E-6,-337.4E-6
53.00008E-6,102.6E-6
53.00008E-6,-97.43E-6
53.20008E-6,102.6E-6
53.20008E-6,-57.43E-6
53.40008E-6,-97.43E-6
53.40008E-6,62.57E-6
53.60009E-6,-137.4E-6
53.60009E-6,22.57E-6
53.80009E-6,62.57E-6
53.80009E-6,-97.43E-6
54.00009E-6,-97.43E-6
54.00009E-6,22.57E-6
54.20009E-6,-137.4E-6
54.20009E-6,-17.43E-6
54.40009E-6,-97.43E-6
54.40009E-6,22.57E-6
54.60009E-6,-97.43E-6
54.60009E-6,22.57E-6
54.80009E-6,-177.4E-6
54.80009E-6,22.57E-6
55.00010E-6,62.57E-6
55.00010E-6,-137.4E-6
55.20010E-6,102.6E-6
55.20010E-6,-57.43E-6
55.40010E-6,-137.4E-6
55.40010E-6,102.6E-6
55.60000E-6,-177.4E-6
55.60000E-6,-17.43E-6
55.80000E-6,-137.4E-6
55.80000E-6,-17.43E-6
56.00001E-6,-97.43E-6
56.00001E-6,22.57E-6
56.20001E-6,-137.4E-6
56.20001E-6,-17.43E-6
56.40001E-6,-177.4E-6
56.40001E-6,-57.43E-6
56.60001E-6,22.57E-6
56.60001E-6,-137.4E-6
56.80001E-6,62.57E-6
56.80001E-6,-97.43E-6
57.00001E-6,-137.4E-6
57.00001E-6,-17.43E-6
57.20001E-6,-177.4E-6
57.20001E-6,-17.43E-6
57.40002E-6,182.6E-6
57.40002E-6,-97.43E-6
57.60002E-6,222.6E-6
57.60002E-6,22.57E-6
57.80002E-6,-217.4E-6
57.80002E-6,62.57E-6
58.00002E-6,-217.4E-6
58.00002E-6,-57.43E-6
58.20002E-6,62.57E-6
58.20002E-6,-137.4E-6
58.40002E-6,102.6E-6
58.40002E-6,-17.43E-6
58.60003E-6,-137.4E-6
58.60003E-6,22.57E-6
58.80003E-6,62.57E-6
58.80003E-6,-97.43E-6
59.00003E-6,102.6E-6
